Air Quality,PM2.5,PM10,NO2,SO2,CO
2,20.3,30.7,31.5,12.5,1.76
1,240.1,261.5,40.3,37.6,2.46
0,14.3,16.9,21.8,7.8,1.07
0,0.4,6.4,21.2,1.7,0.94
3,14.4,33.1,31.0,16.7,2.0
1,73.6,89.8,35.1,13.3,2.84
0,0.2,6.2,15.0,5.5,0.95
2,50.0,59.6,26.3,9.4,1.68
0,3.9,8.0,21.7,5.9,0.98
2,8.4,11.3,24.5,6.1,1.6
3,27.9,44.4,26.3,23.1,1.68
2,33.2,40.1,29.0,9.5,1.52
2,1.9,5.0,36.1,7.6,1.75
2,7.3,22.4,27.9,6.0,1.29
0,0.7,4.7,23.7,7.3,0.93
2,18.9,30.4,22.6,12.8,1.55
0,2.3,6.9,25.3,4.0,0.88
2,2.0,11.5,23.6,13.0,1.46
2,1.1,20.5,28.2,9.8,1.53
2,1.2,5.6,30.1,5.9,1.32
0,7.8,16.3,21.8,8.1,1.07
2,9.3,19.0,31.3,11.2,1.74
2,20.9,37.3,21.3,11.1,1.56
1,11.7,31.7,41.7,12.4,2.03
0,3.7,7.3,13.4,0.9,1.12
2,13.3,25.3,22.9,14.1,1.3
2,35.3,43.9,20.4,14.4,1.38
0,20.3,25.9,26.6,4.9,1.11
2,1.6,12.8,28.1,5.7,1.36
0,1.3,6.5,23.8,4.8,0.89
2,4.3,17.5,21.8,12.8,1.47
2,11.0,21.1,23.2,9.6,1.27
0,1.1,7.2,11.7,8.6,1.08
1,104.9,127.4,44.6,21.7,2.71
1,29.3,46.0,45.1,20.7,2.03
0,25.5,32.3,13.3,5.7,1.08
0,3.6,8.2,23.2,9.1,0.97
1,17.9,30.1,44.3,4.0,1.91
3,139.4,159.9,33.1,22.8,2.28
2,8.6,21.6,26.6,8.1,1.53
2,5.7,20.8,26.5,13.4,1.87
1,33.6,43.8,35.6,19.6,2.45
2,7.5,15.2,24.1,8.6,1.49
2,30.0,47.3,26.5,8.1,1.41
0,23.1,28.1,16.2,9.0,0.95
2,8.6,19.7,31.1,10.3,1.61
3,10.5,24.1,26.8,16.5,2.13
0,10.5,18.0,24.7,7.0,0.89
2,21.1,25.3,30.6,6.5,1.63
3,64.2,76.2,43.9,17.4,2.61
2,58.1,74.1,14.2,9.7,1.41
2,43.6,55.1,27.9,11.3,1.65
3,68.4,85.3,37.5,16.9,2.34
2,14.8,19.2,29.3,-0.4,1.48
0,5.5,10.5,15.4,4.1,1.0
2,22.1,27.2,35.5,8.1,1.54
3,4.7,22.7,35.9,14.7,2.97
0,27.4,31.3,23.8,7.7,0.96
2,3.4,15.9,36.0,14.2,1.47
0,3.5,5.2,18.7,7.9,0.9
0,1.4,7.5,21.8,4.4,0.87
3,28.2,42.9,42.6,9.8,1.71
2,21.4,29.3,23.4,9.6,1.17
1,2.4,17.5,50.9,31.5,3.04
3,7.7,14.3,38.1,17.5,1.75
1,28.4,50.6,34.5,42.3,2.28
0,17.8,26.2,11.0,2.9,1.19
1,117.0,138.7,40.6,33.9,2.22
2,5.3,10.8,34.8,15.9,1.16
3,39.4,54.8,39.5,6.8,2.0
0,3.6,8.3,17.4,7.0,0.99
2,48.9,53.6,28.7,5.1,1.65
0,4.5,9.5,22.4,4.7,0.98
3,33.4,52.8,28.7,18.2,1.97
2,17.2,34.6,27.9,6.5,1.44
0,10.7,17.0,12.9,5.1,1.07
2,3.0,15.1,22.8,21.8,1.76
3,6.5,23.6,41.6,16.5,1.46
3,79.5,93.5,30.0,12.8,1.99
1,17.6,47.1,41.1,26.4,2.45
2,44.9,53.9,29.1,12.1,1.29
2,20.2,30.3,30.2,10.6,1.24
2,45.9,52.7,27.2,10.8,1.21
0,8.3,14.3,15.0,5.4,1.0
2,19.6,32.3,29.3,7.9,1.46
1,42.2,72.0,30.9,23.4,1.98
2,17.4,30.2,19.1,10.5,1.68
0,16.4,20.2,24.0,9.9,0.85
2,22.3,31.7,22.4,11.6,1.81
0,12.1,17.6,14.2,6.2,1.04
0,10.9,15.2,14.0,4.4,1.12
3,8.2,27.2,24.9,13.9,2.69
0,1.5,10.3,23.6,-0.4,0.93
0,3.1,10.6,11.1,4.9,0.88
2,24.9,36.0,25.8,6.3,1.69
0,6.0,11.3,25.8,0.7,0.9
2,24.0,28.5,22.0,8.8,1.64
2,27.7,28.8,34.3,12.3,1.55
0,5.3,10.5,18.4,5.0,0.99
3,35.4,58.2,41.2,7.9,2.06
1,63.0,85.1,52.6,20.1,2.6
3,80.5,96.9,35.0,1.7,2.0
2,12.2,22.1,31.3,15.5,1.7
0,3.6,8.8,19.1,6.6,1.05
3,6.0,25.9,45.5,17.8,1.58
2,10.7,19.8,24.9,12.4,2.0
1,70.8,87.3,32.9,17.0,2.33
2,79.2,86.0,31.4,7.6,1.46
0,0.0,4.5,25.1,4.3,1.07
0,1.1,3.6,21.2,5.1,0.96
0,19.1,22.2,24.0,7.0,1.07
3,6.4,14.2,38.8,11.0,2.24
2,12.1,18.5,17.5,5.1,2.03
0,11.1,17.7,15.1,7.6,1.06
2,9.0,21.6,39.1,7.5,1.79
0,11.7,16.7,24.4,2.3,1.05
3,10.7,19.0,38.1,9.6,2.55
0,10.2,12.8,11.4,4.5,1.13
3,124.1,135.5,32.0,10.0,2.02
1,103.0,106.4,26.5,22.3,2.38
2,1.1,19.5,29.7,4.0,1.78
0,8.4,10.9,17.2,7.2,0.96
2,3.8,13.6,28.1,20.3,1.54
3,85.9,101.9,45.0,25.8,1.82
0,7.4,10.6,23.7,5.2,1.14
3,3.9,18.1,30.7,15.5,1.62
3,7.0,26.4,30.4,20.2,2.19
0,4.0,14.1,22.2,3.2,1.05
2,33.9,44.0,35.9,9.1,1.41
0,6.5,13.2,21.8,5.1,0.88
2,28.2,40.3,37.0,11.3,1.56
0,3.2,9.9,18.6,5.2,0.93
3,11.8,30.9,26.1,23.5,2.16
1,5.4,31.0,50.3,15.6,2.81
2,2.3,18.4,30.9,15.1,1.54
0,6.2,12.7,23.6,5.9,1.04
1,22.5,52.0,38.2,9.0,2.65
2,8.9,16.1,33.3,8.5,1.19
2,0.1,8.8,31.2,5.7,1.41
0,16.6,22.4,21.3,7.0,1.02
0,7.2,9.1,20.8,4.7,1.07
0,1.9,6.4,20.6,4.3,1.19
0,1.9,3.6,13.5,6.2,1.07
0,0.3,7.1,17.3,3.2,1.01
2,2.3,18.1,29.4,10.1,1.45
1,17.9,46.0,42.9,21.1,2.36
2,2.9,13.9,22.2,14.5,1.59
2,9.3,25.0,21.2,9.7,1.59
0,1.2,6.9,11.5,5.5,1.18
0,1.8,8.5,18.6,8.3,0.94
3,21.7,41.3,28.1,2.7,1.66
3,24.3,49.8,28.2,11.5,2.03
0,18.4,23.1,21.5,2.6,1.03
3,47.1,65.4,35.8,17.1,2.03
1,22.3,34.2,43.7,17.4,2.07
2,20.6,24.8,24.1,12.4,1.46
1,72.7,96.6,34.3,14.9,2.54
0,0.6,6.0,22.4,3.5,0.74
3,8.9,19.6,41.7,9.9,2.14
0,4.7,9.3,21.2,5.2,1.15
2,6.0,15.4,29.2,6.0,1.42
2,0.2,4.7,24.6,10.2,1.49
0,0.3,8.1,15.9,6.3,1.02
2,3.7,9.5,17.2,8.9,1.61
0,22.8,26.0,26.5,4.1,0.91
2,34.1,42.9,23.9,9.4,1.63
0,8.6,16.5,22.4,6.2,0.99
0,18.6,23.5,17.1,5.5,1.01
3,7.4,30.0,28.5,16.3,1.8
1,48.9,62.9,30.1,11.5,2.74
2,26.4,34.1,29.2,17.2,1.33
2,21.5,34.0,25.6,7.6,1.21
2,0.7,15.8,16.9,8.6,1.65
0,5.1,9.8,19.3,2.7,0.9
3,57.6,80.4,38.9,28.6,2.15
2,3.8,14.9,20.3,5.2,1.38
3,82.1,103.4,45.4,29.3,2.26
2,34.4,44.0,33.6,12.7,1.34
3,69.5,78.1,29.1,16.2,2.28
1,19.1,50.4,49.3,7.4,2.15
0,2.0,8.2,27.9,3.4,1.05
1,60.3,81.9,32.2,16.0,2.28
0,1.2,10.0,26.5,3.4,0.91
0,18.9,21.1,25.5,5.0,0.96
2,17.3,25.3,30.5,6.0,1.55
1,117.8,127.8,39.4,28.4,2.75
0,0.3,6.4,23.4,7.3,1.05
0,5.9,13.0,14.2,6.7,0.96
0,1.9,10.4,22.7,2.1,0.89
0,15.8,19.6,17.4,5.6,0.99
0,21.9,27.3,21.9,4.3,1.02
2,60.1,76.5,21.4,9.2,1.44
2,7.8,15.2,34.1,9.8,1.63
0,8.4,13.0,16.5,5.0,1.01
0,13.6,19.1,21.6,4.6,1.07
0,17.1,20.3,20.5,6.7,0.9
0,21.1,27.8,21.1,4.5,1.03
0,8.4,15.0,24.2,2.6,1.01
0,1.5,6.5,25.5,2.5,1.07
2,13.6,22.2,35.2,7.3,1.31
1,3.6,21.7,62.1,13.5,2.35
2,7.3,14.8,30.4,7.2,1.73
0,1.4,3.5,22.5,4.8,0.89
2,5.2,8.6,30.6,14.0,1.47
0,0.7,7.9,10.2,6.3,0.95
0,1.8,6.7,14.6,4.8,0.78
0,16.0,16.6,15.2,6.8,1.04
3,90.0,99.8,29.1,10.7,1.94
1,37.4,46.7,42.9,21.3,2.16
2,54.5,65.5,20.2,7.9,1.42
2,16.3,25.3,23.0,7.7,1.71
1,6.2,30.2,36.5,17.8,2.31
3,48.5,66.5,29.0,15.2,2.4
2,24.8,35.9,28.1,13.4,1.53
2,9.9,20.1,24.3,11.1,1.19
0,0.2,7.1,24.7,6.1,1.1
3,3.0,23.6,28.6,14.2,2.07
3,64.5,78.8,26.5,10.3,1.87
0,1.8,7.3,25.2,3.4,1.16
0,4.0,11.5,14.3,9.7,0.95
0,24.7,27.3,27.5,7.7,1.01
1,63.2,69.5,44.7,23.5,2.35
2,22.2,32.8,36.9,1.1,1.55
0,3.9,10.3,24.2,5.5,1.09
2,9.4,20.0,25.3,14.9,1.55
3,60.3,68.4,35.5,14.0,2.17
3,22.6,46.2,37.5,23.0,2.01
1,33.3,51.4,48.0,12.8,2.54
0,5.9,9.0,19.3,0.7,0.91
0,4.2,10.2,20.8,3.2,0.92
0,7.4,11.4,10.6,7.4,0.95
0,19.9,25.3,22.8,3.9,0.78
1,31.7,53.6,50.5,35.4,2.5
0,8.2,14.2,21.1,0.4,0.99
0,7.8,13.9,11.7,2.7,0.99
1,17.5,38.7,46.5,32.9,2.49
0,1.0,3.2,23.6,2.8,0.91
1,19.7,40.7,38.1,26.6,2.67
0,9.5,12.5,18.8,-0.2,0.83
2,3.5,18.7,29.6,8.2,1.38
1,17.0,34.1,33.3,11.4,1.86
2,1.7,16.0,32.7,13.3,1.91
0,4.1,7.9,22.7,8.0,1.03
0,0.1,3.9,18.9,5.3,1.1
0,1.3,5.7,16.4,5.9,0.97
0,2.9,6.9,13.0,8.2,1.14
0,16.8,25.9,19.4,3.9,0.97
0,4.6,11.2,20.1,6.4,1.03
2,1.1,19.8,26.7,10.7,1.28
3,18.0,29.5,27.9,8.5,2.12
0,19.2,26.8,26.5,6.7,0.82
0,11.0,16.4,25.7,5.5,1.11
0,3.9,8.4,12.8,4.8,1.08
3,62.2,74.7,33.0,19.2,2.44
2,4.7,16.1,21.0,6.3,1.24
0,2.4,9.2,24.6,7.6,1.13
0,3.0,5.5,24.7,0.7,1.08
2,8.5,27.1,21.9,13.0,1.61
1,30.2,52.0,41.5,23.3,2.53
2,9.7,11.1,23.5,15.7,1.87
3,18.1,26.5,29.1,13.4,2.24
2,7.3,12.3,28.1,10.0,1.68
3,169.2,194.7,48.7,4.6,2.36
2,13.2,22.2,22.8,6.5,1.69
2,18.3,31.9,27.6,11.6,1.54
0,0.2,4.3,24.5,6.4,1.19
2,32.8,43.8,29.9,9.0,1.03
2,46.5,61.9,22.9,5.2,1.71
3,31.6,44.8,30.5,19.0,2.66
2,1.9,13.1,20.8,9.0,1.43
2,21.8,37.7,22.3,5.6,1.45
3,26.0,33.8,27.3,22.0,2.01
2,33.4,41.3,20.6,8.3,1.46
2,5.5,9.5,28.7,15.3,1.41
3,28.3,42.4,44.2,6.6,2.11
0,8.9,16.9,17.6,0.8,1.05
3,83.5,97.7,42.5,5.3,2.18
0,1.5,5.8,10.9,3.8,1.04
1,11.4,18.9,54.1,32.5,2.71
3,20.4,35.1,39.2,10.9,2.11
3,6.9,30.1,37.9,8.3,1.8
0,8.5,14.5,12.9,3.7,0.94
0,3.3,7.8,17.1,6.7,1.05
0,13.8,19.1,14.5,9.5,1.0
3,9.8,18.7,29.8,19.9,1.62
3,36.4,52.2,36.8,21.1,1.76
2,26.3,39.6,29.3,14.9,1.51
0,9.9,14.9,23.8,7.4,1.04
3,8.3,22.4,36.1,22.3,2.06
2,21.4,31.3,18.7,7.4,1.48
0,33.1,36.6,12.1,8.4,1.03
1,193.1,212.6,39.0,18.2,2.32
3,19.6,24.8,41.2,17.6,1.85
2,30.9,40.8,23.7,9.1,1.63
0,9.7,14.7,20.3,5.2,1.07
0,14.8,19.8,24.5,4.3,0.87
2,12.7,22.1,22.0,8.7,1.18
3,3.6,15.0,33.4,25.2,1.6
2,2.0,14.5,30.5,9.1,1.29
2,2.8,7.9,26.9,14.5,1.77
3,64.6,88.8,43.9,4.1,2.35
3,17.3,37.3,32.9,17.5,1.9
2,11.6,28.8,24.8,9.9,1.5
0,2.6,9.9,22.2,4.6,1.09
2,17.9,20.6,33.1,7.0,1.84
0,0.4,6.7,23.2,4.4,0.87
0,10.0,17.4,22.7,7.2,1.16
2,33.8,43.1,28.7,12.2,1.63
0,3.1,4.2,11.1,4.1,0.97
0,0.8,7.1,15.7,4.7,0.87
0,5.9,8.1,20.4,5.4,1.06
0,10.9,15.2,25.4,6.7,1.02
0,2.8,8.1,24.4,6.4,1.09
1,23.5,44.1,43.7,15.4,2.49
3,12.2,26.6,37.7,24.1,2.25
1,20.8,40.4,32.0,25.8,2.5
2,13.1,24.0,23.1,4.1,1.32
2,5.6,10.7,26.0,12.7,1.54
3,76.1,78.8,38.6,11.1,1.74
0,0.8,6.6,13.5,5.0,1.11
3,6.8,15.0,36.9,15.0,1.55
0,4.1,9.1,21.0,5.8,0.92
0,43.9,53.1,16.5,7.1,1.13
2,7.6,19.2,22.9,10.4,1.28
0,3.8,10.4,12.3,3.1,0.98
0,1.3,9.1,16.4,4.6,0.94
2,27.5,33.0,23.8,8.2,1.32
2,42.6,52.4,23.2,9.6,1.63
3,9.8,31.8,34.3,24.1,2.12
0,0.7,7.2,11.5,3.2,0.82
0,10.6,15.2,26.4,6.8,1.0
0,1.8,8.4,10.5,5.6,0.99
0,2.9,8.9,10.8,4.4,0.96
2,51.7,59.3,29.5,8.0,1.61
0,1.7,7.4,24.4,6.4,0.97
0,5.8,10.7,17.3,5.7,0.83
0,13.8,18.9,23.5,2.8,0.9
2,38.0,50.8,22.5,7.1,1.41
0,35.6,39.3,16.7,5.0,0.92
3,0.7,15.7,27.7,17.9,1.82
0,16.8,20.2,16.0,1.6,0.8
0,1.5,4.9,21.1,2.0,1.14
2,44.7,59.3,29.8,12.5,1.46
0,92.7,98.0,25.4,-0.5,0.92
0,32.0,34.7,28.9,3.8,1.21
3,2.3,17.0,31.4,21.5,2.13
0,5.0,9.7,17.4,2.2,0.97
2,22.2,30.6,22.9,8.2,1.46
1,18.7,34.3,32.8,19.2,2.79
2,78.8,87.1,27.7,13.1,1.36
2,56.6,62.7,23.7,15.6,1.4
0,0.0,5.1,13.8,5.2,0.91
1,8.8,6.7,44.8,28.1,2.34
2,17.6,23.2,24.6,11.1,1.27
3,28.6,47.1,32.4,25.0,1.41
0,45.6,51.1,14.3,6.4,1.1
2,3.7,10.5,27.1,6.6,1.29
0,12.7,17.5,24.9,7.8,1.02
2,12.1,19.7,22.3,7.5,1.75
0,2.1,8.6,12.3,-0.3,1.09
0,7.3,11.5,24.4,4.0,1.14
3,52.5,73.9,38.4,27.2,2.16
2,9.6,24.8,32.8,14.1,1.45
0,0.0,4.7,28.2,5.7,0.89
1,19.2,37.7,31.6,36.8,2.72
3,51.8,64.9,35.3,8.9,2.29
0,6.5,10.9,20.7,7.6,0.92
0,1.7,6.0,13.0,6.9,0.92
0,13.7,20.0,20.2,5.9,0.77
2,20.7,31.3,25.3,8.6,1.22
3,57.9,74.0,19.4,17.1,1.93
0,15.2,19.5,13.8,6.2,0.91
2,32.7,40.7,21.2,4.6,1.57
2,3.0,12.2,18.1,12.3,1.36
2,2.6,8.1,29.5,16.8,1.37
3,40.1,68.0,32.1,13.8,2.25
1,7.3,25.2,52.7,14.7,2.52
0,11.0,13.6,27.9,4.3,1.2
2,11.5,26.7,18.0,10.9,1.83
3,4.1,7.5,27.6,3.8,1.58
0,9.9,14.5,22.3,4.9,0.9
2,14.1,28.8,31.1,21.1,1.42
0,24.5,28.6,17.8,5.5,0.91
0,21.9,29.7,11.1,12.7,0.97
3,30.8,38.8,30.9,17.5,1.85
3,32.2,47.1,31.7,16.5,1.71
3,24.9,43.4,36.3,8.1,1.99
2,35.6,56.7,28.9,6.9,1.2
3,69.1,91.7,32.7,16.5,1.85
0,1.2,5.7,25.5,5.5,0.95
2,11.9,15.3,20.6,8.3,1.46
3,7.7,23.8,37.2,16.1,1.76
2,31.9,44.3,28.7,16.6,1.54
0,1.5,9.5,17.1,4.8,0.83
0,36.2,39.9,20.5,5.7,0.94
3,47.7,67.7,31.6,-4.1,2.54
1,47.7,61.2,49.3,24.2,2.36
2,30.4,41.3,28.9,10.9,1.34
0,3.5,9.0,27.6,5.7,0.98
3,6.0,17.3,28.9,10.5,1.79
1,41.4,53.1,38.4,21.8,2.44
0,16.3,22.0,18.4,2.7,0.9
2,24.5,34.6,18.7,9.8,1.58
0,0.6,5.4,24.1,4.2,0.87
3,13.7,28.6,37.0,14.9,1.76
2,12.7,26.2,27.1,14.3,1.92
3,13.5,38.4,33.2,11.0,1.65
0,6.3,11.6,26.2,7.1,0.92
0,2.7,9.2,18.4,3.8,1.09
3,11.0,19.1,35.1,8.3,2.1
2,13.2,31.2,25.9,9.7,1.23
0,16.1,20.2,26.0,6.0,0.99
1,186.7,209.8,36.8,13.4,2.57
2,34.4,39.6,28.8,11.0,1.54
1,16.0,36.1,51.6,23.9,2.3
2,2.1,9.9,26.7,15.0,1.51
1,56.5,70.0,22.8,25.6,2.41
0,13.8,19.2,12.5,5.7,1.05
0,6.6,15.4,22.5,10.9,0.92
0,2.0,8.7,22.9,5.0,1.07
3,8.7,16.8,25.0,22.1,1.4
0,19.2,23.3,14.8,0.6,1.07
2,35.0,45.9,32.0,9.3,1.59
0,1.0,3.5,17.0,2.6,1.02
2,18.7,32.7,31.1,19.6,1.73
3,21.4,45.0,28.7,11.7,1.96
3,55.3,80.7,45.1,6.7,1.83
0,37.3,42.7,21.4,3.2,1.03
2,20.3,33.5,27.5,15.6,1.74
2,36.3,47.9,21.0,9.9,1.67
2,13.2,31.4,27.2,14.7,1.61
2,32.1,41.6,16.2,17.7,1.49
1,7.5,31.7,54.9,18.4,2.99
0,37.7,44.2,18.2,4.6,0.89
0,9.8,10.1,19.2,4.9,1.01
2,19.8,29.7,22.1,14.6,1.27
1,1.0,29.0,56.8,25.8,3.02
3,16.5,31.2,30.4,19.8,1.73
2,5.7,18.9,31.5,11.7,1.24
3,20.0,35.6,37.4,6.9,1.62
2,0.6,12.5,25.0,6.1,2.0
3,1.7,11.2,35.3,15.5,1.72
0,10.8,17.0,13.3,1.1,0.87
3,6.9,14.1,29.1,17.0,1.87
3,5.0,25.3,29.8,19.7,1.41
0,9.7,15.8,13.4,7.7,0.81
2,10.8,26.9,26.7,10.8,1.26
3,108.8,132.1,23.3,21.9,2.28
2,37.4,49.4,21.7,10.0,1.82
3,19.6,32.6,31.8,3.6,2.53
0,4.1,12.3,27.6,8.4,1.03
3,40.1,55.1,29.8,2.7,2.18
0,0.8,5.8,18.0,-0.6,0.92
3,11.6,33.0,37.6,20.2,1.56
0,14.5,18.2,12.9,2.5,1.13
0,35.1,41.7,13.8,0.6,1.17
2,16.8,30.0,27.7,8.9,1.74
0,5.6,11.8,21.2,4.5,0.9
1,153.9,176.5,37.4,18.5,3.4
1,74.5,92.2,38.8,19.9,2.27
2,1.0,18.5,26.1,7.5,1.55
2,5.2,14.8,27.3,8.4,1.7
2,2.8,19.1,29.1,17.8,1.47
0,12.4,16.9,10.0,6.0,1.24
0,6.8,14.3,19.4,9.4,0.98
2,7.0,11.9,31.0,11.7,1.28
2,2.9,12.3,20.8,6.1,1.12
0,17.4,21.7,24.2,3.4,0.74
2,15.9,23.5,29.6,11.2,1.44
0,26.4,34.1,22.8,4.9,0.86
0,2.2,9.0,10.9,5.1,0.94
2,16.9,29.0,34.7,8.9,1.22
3,28.1,52.2,48.8,22.7,2.19
2,2.8,12.1,34.9,14.3,1.69
0,3.5,10.5,21.9,3.9,1.23
3,13.3,31.4,28.7,28.5,2.04
0,12.2,16.1,24.1,4.8,0.92
3,17.7,33.8,34.3,21.7,2.42
0,10.1,15.5,26.7,5.7,0.85
2,3.9,19.5,23.6,10.1,1.39
2,8.4,19.9,24.7,9.8,1.35
3,20.0,22.4,30.0,14.8,1.92
0,6.5,10.9,18.4,1.9,1.0
0,6.3,16.3,22.3,5.7,1.03
2,1.9,10.1,39.1,4.5,1.97
2,14.1,22.2,32.7,12.8,1.26
2,27.8,32.7,31.2,13.5,1.68
3,5.1,31.6,27.9,10.5,2.12
2,48.1,51.6,30.2,15.1,1.54
2,16.3,23.7,18.7,9.6,1.37
3,13.2,19.1,36.4,21.5,1.69
2,29.3,39.3,20.6,7.2,1.36
1,37.7,57.5,54.3,30.6,2.45
0,11.8,19.9,12.9,5.5,1.14
0,5.7,14.7,11.3,6.9,0.99
2,23.3,30.3,23.4,16.8,1.75
0,8.0,13.3,17.0,5.3,0.84
0,14.4,19.4,17.5,4.3,1.07
2,11.3,11.9,24.9,3.7,1.44
1,40.0,58.3,42.0,25.9,1.94
0,8.4,12.3,15.1,7.3,0.88
2,27.5,31.7,31.0,11.2,1.35
2,14.6,22.3,26.1,16.2,1.7
2,3.4,12.6,20.9,13.5,1.19
2,7.3,15.0,17.2,15.1,1.28
0,5.9,12.2,13.3,4.7,0.99
2,25.8,28.9,18.1,6.8,1.0
2,3.5,14.4,23.7,7.0,1.74
2,47.2,55.6,25.4,11.5,1.35
0,4.7,8.4,24.8,5.5,0.77
2,4.4,16.3,23.9,11.2,1.5
3,25.1,43.8,25.7,25.7,1.85
0,13.1,20.8,21.3,3.5,0.96
3,6.2,20.8,35.9,18.1,2.03
0,24.6,27.4,21.3,6.7,0.88
2,23.4,32.4,31.7,12.9,1.57
0,10.3,15.5,20.0,4.1,0.94
3,55.6,61.0,29.6,9.7,1.7
1,65.2,79.4,16.6,25.8,3.29
3,88.9,96.5,35.9,11.4,1.99
